,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,OU_O05,OU_U05,OU_O15,OU_U15,OU_O25,OU_U25,BTTS_Yes,BTTS_No,season_id,match_id,saison,nom_compétition,pays
103516,2012-09-30 02:00:00,Atlas,Toluca,1,3,A,0,2,A,2.66,3.28,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86049,2012,Mexico Liga MX,Mexico
103517,2012-09-30 17:00:00,Pumas UNAM,Puebla,2,1,H,0,0,D,1.83,3.61,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86050,2012,Mexico Liga MX,Mexico
103518,2012-09-30 23:00:00,Atlante,Santos Laguna,1,3,A,0,1,A,2.52,3.51,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86051,2012,Mexico Liga MX,Mexico
103519,2012-10-03 00:00:00,Guadalajara,Tigres UANL,2,1,H,1,0,H,2.7,3.24,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86052,2012,Mexico Liga MX,Mexico
103520,2012-10-03 01:30:00,San Luis,América,1,2,A,0,0,D,3.12,3.28,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86053,2012,Mexico Liga MX,Mexico
103521,2012-10-04 00:00:00,Puebla,Pachuca,2,0,H,1,0,H,2.89,3.34,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86054,2012,Mexico Liga MX,Mexico
103522,2012-10-04 00:00:00,Toluca,Querétaro,4,1,H,3,1,H,1.45,4.59,8.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86055,2012,Mexico Liga MX,Mexico
103523,2012-10-04 00:00:00,Cruz Azul,Atlante,4,0,H,1,0,H,1.68,3.73,6.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86056,2012,Mexico Liga MX,Mexico
103524,2012-10-04 01:00:00,Santos Laguna,Atlas,2,1,H,2,1,H,1.8,3.73,4.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86057,2012,Mexico Liga MX,Mexico
103525,2012-10-04 01:35:00,León,Pumas UNAM,2,1,H,1,1,D,1.78,3.68,5.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86058,2012,Mexico Liga MX,Mexico
