,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
1475,2025,2025-03-16,Boca Juniors,Defensa Y Justicia,4,0,2,2,H
1476,2025,2025-03-17,Belgrano Cordoba,Barracas Central,1,1,1,0,D
1477,2025,2025-03-17,Lanus,Instituto Cordoba,4,1,1,3,H
1478,2025,2025-03-17,Union Santa Fe,Banfield,3,1,1,2,H
1479,2025,2025-03-17,Tigre,Central Cordoba de Santiago,1,2,0,1,A
1480,2025,2025-03-18,Atletico Tucuman,Velez Sarsfield,1,2,1,0,A
1481,2025,2025-03-18,San Martin S.J.,Platense,0,2,0,0,A
1482,2025,2025-03-21,Union Santa Fe,Racing Club,0,1,0,0,A
1483,2025,2025-03-22,Godoy Cruz,Talleres Cordoba,0,0,0,0,D
1484,2025,2025-03-27,Aldosivi,Union Santa Fe,2,1,1,1,H
1485,2025,2025-03-27,Barracas Central,Estudiantes L.P.,2,1,1,1,H
1486,2025,2025-03-28,Independ. Rivadavia,Racing Club,2,1,0,2,H
1487,2025,2025-03-28,Defensa Y Justicia,Tigre,1,2,0,1,A
1488,2025,2025-03-28,Banfield,Huracan,0,0,0,0,D
1489,2025,2025-03-28,San Lorenzo,Lanus,1,1,0,1,D
1490,2025,2025-03-29,Velez Sarsfield,Deportivo Riestra,0,1,0,0,A
1491,2025,2025-03-29,Platense,Atletico Tucuman,2,1,1,1,H
1492,2025,2025-03-29,Instituto Cordoba,San Martin S.J.,1,0,0,1,H
1493,2025,2025-03-29,Central Cordoba de Santiago,Argentinos JRS,1,1,0,1,D
1494,2025,2025-03-29,Independiente,Godoy Cruz,4,0,4,0,H
1495,2025,2025-03-30,River Plate,Rosario Central,2,2,1,1,D
1496,2025,2025-03-30,Belgrano Cordoba,Talleres Cordoba,1,1,0,1,D
1497,2025,2025-03-30,Gimnasia L.P.,Sarmiento Junin,0,0,0,0,D
1498,2025,2025-03-30,Newells Old Boys,Boca Juniors,2,0,2,0,H
1499,2025,2025-04-04,Estudiantes L.P.,Belgrano Cordoba,0,1,0,0,A
1500,2025,2025-04-05,San Martin S.J.,San Lorenzo,0,1,0,0,A
1501,2025,2025-04-05,Rosario Central,Velez Sarsfield,2,1,0,2,H
1502,2025,2025-04-05,Godoy Cruz,Independ. Rivadavia,1,1,1,0,D
1503,2025,2025-04-05,Huracan,Aldosivi,3,3,1,2,D
1504,2025,2025-04-05,Talleres Cordoba,Gimnasia L.P.,2,0,1,1,H
1505,2025,2025-04-05,Sarmiento Junin,River Plate,1,1,1,0,D
1506,2025,2025-04-06,Union Santa Fe,Central Cordoba de Santiago,1,0,1,0,H
1507,2025,2025-04-06,Lanus,Independiente,1,1,0,1,D
1508,2025,2025-04-06,Boca Juniors,Barracas Central,1,0,1,0,H
1509,2025,2025-04-06,Racing Club,Banfield,4,1,1,3,H
1510,2025,2025-04-06,Argentinos JRS,Defensa Y Justicia,4,1,4,0,H
1511,2025,2025-04-07,Deportivo Riestra,Platense,1,0,0,1,H
1512,2025,2025-04-08,Tigre,Newells Old Boys,0,2,0,0,A
1513,2025,2025-04-08,Atletico Tucuman,Instituto Cordoba,3,2,1,2,H
1514,2025,2025-04-11,Banfield,Independ. Rivadavia,1,1,1,0,D
1515,2025,2025-04-12,Newells Old Boys,Argentinos JRS,0,0,0,0,D
1516,2025,2025-04-12,San Lorenzo,Atletico Tucuman,1,0,0,1,H
1517,2025,2025-04-12,Barracas Central,Tigre,1,0,1,0,H
1518,2025,2025-04-12,Belgrano Cordoba,Boca Juniors,1,3,0,1,A
1519,2025,2025-04-13,Gimnasia L.P.,Estudiantes L.P.,1,1,1,0,D
1520,2025,2025-04-13,Instituto Cordoba,Deportivo Riestra,3,0,0,3,H
1521,2025,2025-04-13,Independiente,San Martin S.J.,2,0,0,2,H
1522,2025,2025-04-13,River Plate,Talleres Cordoba,1,1,0,1,D
1523,2025,2025-04-14,Aldosivi,Racing Club,0,2,0,0,A
1524,2025,2025-04-14,Central Cordoba de Santiago,Huracan,1,2,1,0,A
1525,2025,2025-04-14,Defensa Y Justicia,Union Santa Fe,0,0,0,0,D
1526,2025,2025-04-15,Velez Sarsfield,Sarmiento Junin,0,1,0,0,A
1527,2025,2025-04-15,Godoy Cruz,Lanus,0,0,0,0,D
1528,2025,2025-04-15,Platense,Rosario Central,0,0,0,0,D
1529,2025,2025-04-18,Gimnasia L.P.,River Plate,0,3,0,0,A
1530,2025,2025-04-18,Racing Club,Central Cordoba de Santiago,1,0,1,0,H
1531,2025,2025-04-18,Talleres Cordoba,Velez Sarsfield,0,1,0,0,A
1532,2025,2025-04-19,Union Santa Fe,Newells Old Boys,1,1,1,0,D
1533,2025,2025-04-19,Lanus,Banfield,1,1,1,0,D
1534,2025,2025-04-19,Huracan,Defensa Y Justicia,1,1,0,1,D
1535,2025,2025-04-19,Boca Juniors,Estudiantes L.P.,2,0,0,2,H
1536,2025,2025-04-20,Deportivo Riestra,San Lorenzo,0,0,0,0,D
1537,2025,2025-04-20,San Martin S.J.,Godoy Cruz,1,0,1,0,H
1538,2025,2025-04-20,Sarmiento Junin,Platense,0,1,0,0,A
1539,2025,2025-04-20,Rosario Central,Instituto Cordoba,3,0,1,2,H
1540,2025,2025-04-22,Tigre,Belgrano Cordoba,0,0,0,0,D
1541,2025,2025-04-22,Argentinos JRS,Barracas Central,3,0,2,1,H
1542,2025,2025-04-23,Independ. Rivadavia,Aldosivi,1,0,1,0,H
1543,2025,2025-04-26,Aldosivi,Banfield,2,1,1,1,H
1544,2025,2025-04-26,San Lorenzo,Rosario Central,0,1,0,0,A
1545,2025,2025-04-26,Belgrano Cordoba,Argentinos JRS,1,1,1,0,D
1546,2025,2025-04-27,River Plate,Boca Juniors,2,1,2,0,H
1547,2025,2025-04-27,Lanus,San Martin S.J.,1,0,0,1,H
1548,2025,2025-04-27,Instituto Cordoba,Sarmiento Junin,1,1,0,1,D
1549,2025,2025-04-28,Independiente,Deportivo Riestra,0,0,0,0,D
1550,2025,2025-04-28,Barracas Central,Union Santa Fe,2,1,1,1,H
1551,2025,2025-04-28,Godoy Cruz,Atletico Tucuman,1,0,1,0,H
1552,2025,2025-04-28,Defensa Y Justicia,Racing Club,1,2,0,1,A
1553,2025,2025-04-28,Estudiantes L.P.,Tigre,0,0,0,0,D
1554,2025,2025-04-29,Velez Sarsfield,Gimnasia L.P.,1,0,0,1,H
1555,2025,2025-04-29,Central Cordoba de Santiago,Independ. Rivadavia,1,2,0,1,A
1556,2025,2025-04-29,Newells Old Boys,Huracan,2,0,1,1,H
1557,2025,2025-04-29,Platense,Talleres Cordoba,2,1,0,2,H
1558,2025,2025-05-01,Atletico Tucuman,Independiente,2,0,1,1,H
1559,2025,2025-05-02,Racing Club,Newells Old Boys,1,0,0,1,H
1560,2025,2025-05-02,Banfield,Central Cordoba de Santiago,3,1,2,1,H
1561,2025,2025-05-02,Argentinos JRS,Estudiantes L.P.,4,0,2,2,H
1562,2025,2025-05-02,Independ. Rivadavia,Defensa Y Justicia,3,2,1,2,H
1563,2025,2025-05-02,Union Santa Fe,Belgrano Cordoba,1,1,1,0,D
1564,2025,2025-05-03,Talleres Cordoba,Instituto Cordoba,1,2,1,0,A
1565,2025,2025-05-03,Sarmiento Junin,San Lorenzo,1,1,1,0,D
1566,2025,2025-05-03,Deportivo Riestra,Godoy Cruz,3,0,1,2,H
1567,2025,2025-05-03,Rosario Central,Independiente,1,0,1,0,H
1568,2025,2025-05-04,Huracan,Barracas Central,0,1,0,0,A
1569,2025,2025-05-04,Atletico Tucuman,Lanus,1,0,0,1,H
1570,2025,2025-05-04,Gimnasia L.P.,Platense,1,0,0,1,H
1571,2025,2025-05-04,San Martin S.J.,Aldosivi,0,3,0,0,A
1572,2025,2025-05-04,Tigre,Boca Juniors,1,1,1,0,D
1573,2025,2025-05-04,River Plate,Velez Sarsfield,4,1,3,1,H
1574,2025,2025-05-10,San Lorenzo,Tigre,2,1,1,1,H
1575,2025,2025-05-10,Rosario Central,Estudiantes L.P.,2,0,0,2,H
1576,2025,2025-05-10,Racing Club,Platense,0,1,0,0,A
1577,2025,2025-05-11,Independiente,Independ. Rivadavia,1,0,0,1,H
1578,2025,2025-05-11,Argentinos JRS,Instituto Cordoba,3,1,0,3,H
1579,2025,2025-05-11,Huracan,Deportivo Riestra,3,2,1,2,H
1580,2025,2025-05-12,River Plate,Barracas Central,3,0,2,1,H
1581,2025,2025-05-18,Rosario Central,Huracan,0,1,0,0,A
1582,2025,2025-05-20,Boca Juniors,Independiente,0,1,0,0,A
1583,2025,2025-05-25,San Lorenzo,Platense,0,1,0,0,A
1584,2025,2025-06-01,Huracan,Platense,0,1,0,0,A
1585,2025,2025-07-11,Aldosivi,Central Cordoba de Santiago,0,0,0,0,D
1586,2025,2025-07-11,Talleres Cordoba,San Lorenzo,1,2,1,0,A
1587,2025,2025-07-12,Rosario Central,Godoy Cruz,1,1,0,1,D
1588,2025,2025-07-12,Gimnasia L.P.,Instituto Cordoba,0,1,0,0,A
1589,2025,2025-07-12,Huracan,Belgrano Cordoba,0,3,0,0,A
1590,2025,2025-07-12,Racing Club,Barracas Central,0,1,0,0,A
1591,2025,2025-07-13,Sarmiento Junin,Independiente,2,2,1,1,D
1592,2025,2025-07-13,Atletico Tucuman,San Martin S.J.,2,1,1,1,H
1593,2025,2025-07-13,Independ. Rivadavia,Newells Old Boys,1,2,1,0,A
1594,2025,2025-07-13,Argentinos JRS,Boca Juniors,0,0,0,0,D
1595,2025,2025-07-14,River Plate,Platense,3,1,2,1,H
1596,2025,2025-07-14,Deportivo Riestra,Lanus,1,0,0,1,H
1597,2025,2025-07-14,Banfield,Defensa Y Justicia,0,0,0,0,D
1598,2025,2025-07-15,Velez Sarsfield,Tigre,2,1,2,0,H
1599,2025,2025-07-15,Union Santa Fe,Estudiantes L.P.,1,0,1,0,H
1600,2025,2025-07-18,Boca Juniors,Union Santa Fe,1,1,0,1,D
1601,2025,2025-07-19,Atletico Tucuman,Central Cordoba de Santiago,1,1,1,0,D
1602,2025,2025-07-19,San Lorenzo,Gimnasia L.P.,0,0,0,0,D
1603,2025,2025-07-19,Lanus,Rosario Central,0,1,0,0,A
1604,2025,2025-07-19,Godoy Cruz,Sarmiento Junin,0,0,0,0,D
1605,2025,2025-07-19,Platense,Velez Sarsfield,0,0,0,0,D
1606,2025,2025-07-20,Instituto Cordoba,River Plate,0,4,0,0,A
1607,2025,2025-07-20,Barracas Central,Independ. Rivadavia,0,3,0,0,A
1608,2025,2025-07-20,Tigre,Argentinos JRS,2,1,0,2,H
1609,2025,2025-07-20,Newells Old Boys,Banfield,1,2,0,1,A
1610,2025,2025-07-20,Belgrano Cordoba,Racing Club,0,1,0,0,A
1611,2025,2025-07-21,Independiente,Talleres Cordoba,1,2,0,1,A
1612,2025,2025-07-21,Estudiantes L.P.,Huracan,2,1,0,2,H
1613,2025,2025-07-22,Defensa Y Justicia,Aldosivi,2,0,0,2,H
1614,2025,2025-07-22,San Martin S.J.,Deportivo Riestra,3,2,1,2,H
1615,2025,2025-07-25,Sarmiento Junin,Lanus,0,2,0,0,A
1616,2025,2025-07-26,Union Santa Fe,Tigre,0,0,0,0,D
1617,2025,2025-07-26,Independ. Rivadavia,Belgrano Cordoba,0,0,0,0,D
1618,2025,2025-07-26,Aldosivi,Newells Old Boys,0,0,0,0,D
1619,2025,2025-07-26,Rosario Central,San Martin S.J.,0,0,0,0,D
1620,2025,2025-07-26,Velez Sarsfield,Instituto Cordoba,0,0,0,0,D
1621,2025,2025-07-26,Platense,Argentinos JRS,0,0,0,0,D
1622,2025,2025-07-27,Racing Club,Estudiantes L.P.,0,1,0,0,A
1623,2025,2025-07-27,Gimnasia L.P.,Independiente,1,0,1,0,H
1624,2025,2025-07-27,Talleres Cordoba,Godoy Cruz,0,0,0,0,D
1625,2025,2025-07-27,Huracan,Boca Juniors,1,0,0,1,H
1626,2025,2025-07-27,River Plate,San Lorenzo,0,0,0,0,D
1627,2025,2025-07-28,Deportivo Riestra,Atletico Tucuman,1,0,0,1,H
1628,2025,2025-07-28,Central Cordoba de Santiago,Defensa Y Justicia,2,1,1,1,H
1629,2025,2025-07-28,Banfield,Barracas Central,1,3,1,0,A
1630,2025,2025-08-07,Godoy Cruz,Gimnasia L.P.,1,2,0,1,A
1631,2025,2025-08-07,San Lorenzo,Velez Sarsfield,1,0,1,0,H
1632,2025,2025-08-08,Estudiantes L.P.,Independ. Rivadavia,2,1,2,0,H
1633,2025,2025-08-08,Tigre,Huracan,0,1,0,0,A
1634,2025,2025-08-09,Newells Old Boys,Central Cordoba de Santiago,1,1,0,1,D
1635,2025,2025-08-09,Lanus,Talleres Cordoba,1,0,1,0,H
1636,2025,2025-08-09,San Martin S.J.,Sarmiento Junin,0,1,0,0,A
1637,2025,2025-08-09,Boca Juniors,Racing Club,1,1,0,1,D
1638,2025,2025-08-09,Independiente,River Plate,0,0,0,0,D
1639,2025,2025-08-09,Belgrano Cordoba,Banfield,2,1,1,1,H
1640,2025,2025-08-09,Atletico Tucuman,Rosario Central,0,0,0,0,D
1641,2025,2025-08-10,Barracas Central,Aldosivi,3,1,1,2,H
1642,2025,2025-08-10,Instituto Cordoba,Platense,1,1,1,0,D
1643,2025,2025-08-10,Argentinos JRS,Union Santa Fe,1,0,1,0,H
1644,2025,2025-08-11,Defensa Y Justicia,Deportivo Riestra,1,0,0,1,H
1645,2025,2025-08-15,Aldosivi,Belgrano Cordoba,0,0,0,0,D
1646,2025,2025-08-15,Instituto Cordoba,Union Santa Fe,0,4,0,0,A
1647,2025,2025-08-16,Racing Club,Tigre,1,2,1,0,A
1648,2025,2025-08-16,Platense,San Lorenzo,2,1,2,0,H
1649,2025,2025-08-16,Huracan,Argentinos JRS,1,0,0,1,H
1650,2025,2025-08-16,Rosario Central,Deportivo Riestra,1,1,1,0,D
1651,2025,2025-08-16,Velez Sarsfield,Independiente,2,1,1,1,H
1652,2025,2025-08-17,Gimnasia L.P.,Lanus,1,2,1,0,A
1653,2025,2025-08-17,Defensa Y Justicia,Newells Old Boys,1,1,1,0,D
1654,2025,2025-08-17,Banfield,Estudiantes L.P.,3,2,0,3,H
1655,2025,2025-08-17,Central Cordoba de Santiago,Barracas Central,1,1,0,1,D
1656,2025,2025-08-17,River Plate,Godoy Cruz,4,2,3,1,H
1657,2025,2025-08-17,Independ. Rivadavia,Boca Juniors,0,3,0,0,A
1658,2025,2025-08-18,Sarmiento Junin,Atletico Tucuman,2,2,2,0,D
1659,2025,2025-08-19,Talleres Cordoba,San Martin S.J.,0,0,0,0,D
1660,2025,2025-08-22,Barracas Central,Defensa Y Justicia,1,1,0,1,D
1661,2025,2025-08-22,Tigre,Independ. Rivadavia,1,1,0,1,D
1662,2025,2025-08-23,San Lorenzo,Instituto Cordoba,1,0,0,1,H
1663,2025,2025-08-23,Rosario Central,Newells Old Boys,1,0,0,1,H
1664,2025,2025-08-23,Atletico Tucuman,Talleres Cordoba,3,0,2,1,H
1665,2025,2025-08-23,San Martin S.J.,Gimnasia L.P.,1,0,0,1,H
1666,2025,2025-08-24,Union Santa Fe,Huracan,1,1,0,1,D
1667,2025,2025-08-24,Argentinos JRS,Racing Club,4,1,1,3,H
1668,2025,2025-08-24,Boca Juniors,Banfield,2,0,0,2,H
1669,2025,2025-08-25,Deportivo Riestra,Sarmiento Junin,3,0,1,2,H
1670,2025,2025-08-25,Godoy Cruz,Velez Sarsfield,0,2,0,0,A
1671,2025,2025-08-25,Belgrano Cordoba,Central Cordoba de Santiago,0,3,0,0,A
1672,2025,2025-08-25,Estudiantes L.P.,Aldosivi,1,0,1,0,H
1673,2025,2025-08-26,Lanus,River Plate,1,1,0,1,D
1674,2025,2025-08-29,Banfield,Tigre,1,0,0,1,H
1675,2025,2025-08-29,Newells Old Boys,Barracas Central,1,2,1,0,A
1676,2025,2025-08-30,Instituto Cordoba,Independiente,0,0,0,0,D
1677,2025,2025-08-30,San Lorenzo,Huracan,0,0,0,0,D
1678,2025,2025-08-30,Independ. Rivadavia,Argentinos JRS,2,1,2,0,H
1679,2025,2025-08-30,Central Cordoba de Santiago,Estudiantes L.P.,2,0,2,0,H
1680,2025,2025-08-31,Velez Sarsfield,Lanus,3,0,1,2,H
1681,2025,2025-08-31,Aldosivi,Boca Juniors,0,2,0,0,A
1682,2025,2025-08-31,Defensa Y Justicia,Belgrano Cordoba,2,1,1,1,H
