,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG
278,2025-03-09,Juventus,Atalanta,0,4,A,0,0
279,2025-03-10,Lazio,Udinese,1,1,D,1,0
280,2025-03-14,Genoa,Lecce,2,1,H,2,0
281,2025-03-15,Udinese,Verona,0,1,A,0,0
282,2025-03-15,Monza,Parma,1,1,D,0,1
283,2025-03-15,AC Milan,Como,2,1,H,0,2
284,2025-03-15,Torino,Empoli,1,0,H,0,1
285,2025-03-16,Venezia,Napoli,0,0,D,0,0
286,2025-03-16,Bologna,Lazio,5,0,H,1,4
287,2025-03-16,AS Roma,Cagliari,1,0,H,0,1
288,2025-03-16,Fiorentina,Juventus,3,0,H,2,1
289,2025-03-16,Atalanta,Inter,0,2,A,0,0
290,2025-03-29,Venezia,Bologna,0,1,A,0,0
291,2025-03-29,Como,Empoli,1,1,D,0,1
292,2025-03-29,Juventus,Genoa,1,0,H,1,0
293,2025-03-29,Lecce,AS Roma,0,1,A,0,0
294,2025-03-30,Cagliari,Monza,3,0,H,0,3
295,2025-03-30,Fiorentina,Atalanta,1,0,H,1,0
296,2025-03-30,Inter,Udinese,2,1,H,2,0
297,2025-03-30,Napoli,AC Milan,2,1,H,2,0
298,2025-03-31,Verona,Parma,0,0,D,0,0
299,2025-03-31,Lazio,Torino,1,1,D,0,1
300,2025-04-04,Genoa,Udinese,1,0,H,0,1
301,2025-04-05,Monza,Como,1,3,A,1,0
302,2025-04-05,Parma,Inter,2,2,D,0,2
303,2025-04-05,AC Milan,Fiorentina,2,2,D,1,1
304,2025-04-06,Lecce,Venezia,1,1,D,0,1
305,2025-04-06,Torino,Verona,1,1,D,0,1
306,2025-04-06,Empoli,Cagliari,0,0,D,0,0
307,2025-04-06,Atalanta,Lazio,0,1,A,0,0
308,2025-04-06,AS Roma,Juventus,1,1,D,0,1
309,2025-04-07,Bologna,Napoli,1,1,D,0,1
310,2025-04-11,Udinese,AC Milan,0,4,A,0,0
311,2025-04-12,Venezia,Monza,1,0,H,0,1
